Country or Economy,Financial Literacy Score (out of 100),Percentage of adults reaching the minimum target score of financial literacy,Financial Knowledge Scores (out of 100),Percentage of adults reaching the minimum target score on financial knowledge ,Financial Behaviour Scores (out of 100),Percentage of adults reaching the minimum target score on financial behaviour,Financial Attitudes Scores (out of 100),"Adults who hold saving, investment, or retirement (SIR) products ",Adults who have been a victim of a financial fraud or scam,Financial Well-Being Scores (out of 100),Financial resilience score (out of 100),Subjective financial well-being (100)
Albania,56,29.9,58,44.5,51,25.2,66,30.6, - ,33,34,32
Brazil,60,29.9,53,26.1,68,64.1,53,39.4,25.9,35,34,35
Cambodia,49,12.5,42,14.2,53,34.9,51,25.1,14.0,33,34,32
Chile,56,22.9,62,45.0,54,38.9,50,45.0,18.1,35,32,39
Costa Rica,56,21.5,59,36.1,58,43.2,49,48.2,26.1,39,36,43
Croatia,62,35.6,70,66.5,59,49.0,54,26.0,4.9,38,38,37
Cyprus,56,16.1,73,72.2,45,19.2,50,75.4,16.4,45,46,44
Estonia,67,48.4,78,77.9,61,49.1,61,57.3,20.3,41,48,35
Finland,65,45.8,69,62.5,62,53.7,62,47.0, - ,42,49,35
France,62,38.7,66,55.9,61,52.2,59,70.0,15.1,42,53,30
Germany,76,75.5,85,84.5,74,77.5,65,85.1,7.0,73,78,67
Greece,61,32.1,65,53.7,62,49.6,54,72.3,10.3,32,34,31
Hong Kong (China),70,59.5,91,93.6,61,53.2,54,99.8, - ,61,77,45
Hungary,58,22.5,74,74.8,45,19.7,57,23.2,4.4,42,46,39
Indonesia,57,18.6,38,9.2,71,74.0,57,68.9,17.9,36,39,33
Ireland,70,56.9,72,65.1,73,76.9,58,85.1,19.0,58,64,52
Italy,53,16.6,53,39.4,52,35.1,57,34.0,9.4,42,48,35
Jordan,58,30.3,56,43.2,64,59.3,48,55.2,11.8, - , - , - 
Korea,67,48.3,76,73.9,66,58.9,56,76.4,8.5,47,55,39
Latvia,59,32.6,58,45.9,61,53.7,55,25.0,18.3,43,48,37
Lithuania,56,23.3,54,42.4,63,54.3,45,55.2,13.8,44,60,28
Luxembourg,68,53.1,71,65.4,67,63.5,63,82.8,15.0,48,63,33
Malaysia,61,32.9,63,54.1,64,58.1,49,96.0,9.3,40,52,28
Malta,68,45.5,59,46.3,77,75.5,63,95.2, - ,46,54,37
Mexico,60,30.2,59,40.9,63,51.5,55,49.5, - ,40,33,47
Netherlands,64,47.3,65,58.8,65,59.8,62,78.9,10.2,56,58,54
Panama,55,16.5,54,27.1,57,41.7,50,40.2,21.1,36,33,38
Paraguay,50,11.2,56,32.4,45,20.1,49,11.0,9.3,24,20,29
Peru,56,21.1,57,35.9,53,36.7,61,39.9,23.1,35,27,43
Philippines,58,28.7,48,24.4,67,61.3,58,67.5,31.5,30,34,26
Poland,62,34.7,73,67.8,59,48.5,51,44.7, - ,47,52,43
Portugal,63,37.4,61,48.1,66,62.2,63,45.5, - ,51,57,46
Romania,54,20.4,49,30.8,56,42.5,58,35.3, - ,34,31,37
Saudi Arabia,61,32.7,57,45.4,75,81.4,37,33.2,4.5,43,59,26
Spain,64,39.2,66,51.9,60,46.5,70,40.8,13.4,54,73,36
Sweden,66,50.9,72,64.8,61,52.6,67,81.8,8.3,56,62,50
Thailand,71,64.5,70,67.4,70,71.9,77, - ,20.5, - , - , - 
Uruguay,58,27.6,62,43.1,58,44.8,49,50.3, - ,33,29,36
Yemen,42,3.0,50,22.2,41,10.8,31,5.5,-,15,11,20
